user_id,AGE,GENDER,HEIGHT,WEIGHT,DAILY CALORIES,PROTEIN,BMI,CARBS,FAT,STEPS PER DAY,SLEEP HOURS
1,63,Female,196.0,111.9,2365.0,154.0,29.1,336.0,60,16934,7.6
2,20,Other,199.0,50.5,2401.0,139.0,12.8,243.0,88,18560,6.6
3,41,Male,164.0,58.4,1972.0,129.0,21.7,469.0,144,18237,4.5
4,19,Female,162.0,113.2,1561.0,114.0,43.1,164.0,33,10133,4.8
5,35,Other,167.0,87.6,3075.0,128.0,31.4,409.0,89,5995,8.0
6,39,Female,142.0,50.9,3884.0,136.0,25.2,299.0,66,15673,4.6
7,55,Other,190.0,103.1,3092.0,44.0,28.6,409.0,149,1605,5.4
8,44,Other,158.0,46.2,1832.0,154.0,18.5,307.0,50,11506,5.6
10,39,Female,177.0,53.2,3615.0,155.0,17.0,166.0,67,3918,4.3
11,24,Female,157.0,67.0,2656.0,142.0,27.2,357.0,61,13334,3.6
12,41,Other,192.0,74.1,3498.0,168.0,20.1,411.0,124,12321,4.3
13,62,Female,157.0,113.3,2256.0,122.0,46.0,410.0,42,19023,8.0
14,58,Male,169.2,77.7,2530.0,101.0,27.1,248.0,34,14575,3.4
15,42,Other,165.0,54.3,3339.0,65.0,19.9,434.0,121,11744,6.4
16,24,Other,169.0,65.4,2369.0,113.0,22.9,330.0,34,15026,6.5
17,55,Other,151.0,45.5,3600.0,152.0,20.0,177.0,89,8313,5.6
18,54,Male,177.0,47.1,3965.0,77.0,15.0,446.0,50,17865,5.4
19,20,Other,171.0,77.3,3210.0,66.0,26.4,271.0,74,5109,6.8
20,64,Other,198.0,83.4,2759.0,212.0,21.3,209.0,34,12670,3.4
21,23,Female,143.0,63.7,3034.0,103.0,31.2,167.0,81,6735,5.3
22,60,Other,170.0,73.5,1622.0,91.0,25.4,299.0,147,4520,5.9
23,16,Male,153.0,52.8,2009.0,103.0,22.6,369.0,132,18261,4.0
24,27,Other,145.0,94.4,3179.0,49.0,44.9,480.0,148,16425,6.7
25,22,Male,196.0,74.4,3145.0,187.0,19.4,438.0,41,2964,5.2
27,60,Male,140.0,82.3,2475.0,56.0,42.0,458.0,38,10456,3.9
28,21,Other,182.0,60.6,2091.0,61.0,18.3,297.0,33,12259,5.3
29,40,Male,184.0,66.9,2845.0,134.0,19.8,214.0,60,8035,7.6
30,64,Female,196.0,54.3,3005.0,95.0,14.1,376.0,68,14737,8.6
31,16,Male,155.0,103.6,3029.0,109.0,43.1,267.0,101,6791,6.4
32,50,Female,193.0,65.9,3705.0,195.0,17.7,433.0,123,4312,3.3
33,25,Female,176.0,116.7,2422.0,173.0,37.7,498.0,85,11755,7.2
34,30,Male,184.0,75.4,3831.0,53.0,22.3,247.0,111,19828,7.4
35,54,Other,153.0,56.6,3467.0,171.0,24.2,331.0,66,7158,6.0
36,20,Other,172.0,97.9,2986.0,187.0,33.1,394.0,136,13794,5.4
37,62,Other,192.0,100.0,2655.0,49.0,27.1,478.0,112,10799,3.1
38,25,Other,195.0,111.1,3703.0,178.0,29.2,244.0,39,19905,7.0
39,39,Female,198.0,54.9,1746.0,83.0,14.0,468.0,112,19560,3.7
40,51,Other,172.0,104.2,3735.0,193.0,35.2,363.0,30,7492,9.6
41,19,Female,194.0,109.5,3396.0,42.0,29.1,403.0,61,12623,5.4
42,24,Other,169.2,67.8,2472.0,132.0,23.7,454.0,93,8896,7.3
43,35,Female,183.0,79.1,1580.0,207.0,23.6,223.0,127,14512,5.3
44,64,Male,141.0,91.5,2467.0,52.0,46.0,346.0,71,16446,5.4
45,17,Male,172.0,63.4,3532.0,184.0,21.4,307.0,44,8275,3.1
46,16,Female,179.0,110.4,3875.0,70.0,34.5,260.0,82,14397,9.1
47,32,Other,146.0,110.9,3625.0,130.0,52.0,205.0,135,11250,4.9
48,43,Male,188.0,109.3,2343.0,218.0,30.9,184.0,99,9219,6.4
49,45,Male,143.0,78.7,1750.0,176.0,38.5,285.0,42,17332,5.5
50,60,Male,178.0,83.9,2759.0,58.0,26.5,331.0,93,15657,4.3
51,44,Female,195.0,59.6,3813.0,138.0,15.7,156.0,104,5209,5.2
53,39,Other,144.0,99.7,3389.0,43.0,48.1,262.0,62,15500,9.8
54,26,Male,167.0,116.9,3104.0,215.0,41.9,437.0,99,11115,9.1
55,43,Male,180.0,56.4,2782.0,217.0,17.4,237.0,66,15450,5.0
56,51,Female,170.0,48.8,1978.0,132.0,16.9,274.0,138,1064,8.9
57,16,Female,166.0,50.1,3508.0,154.0,18.2,461.0,122,11069,3.3
58,23,Female,169.2,77.7,1822.0,185.0,27.1,213.0,127,8456,7.0
59,39,Female,195.0,104.5,3492.0,217.0,27.5,242.0,125,7063,9.0
60,44,Other,181.0,61.9,2206.0,60.0,18.9,242.0,143,19126,4.5
61,48,Other,194.0,80.8,1652.0,165.0,21.5,228.0,48,4932,4.1
62,37,Female,191.0,83.7,1716.0,81.0,22.9,414.0,33,3860,8.6
63,52,Other,169.2,107.8,2317.0,85.0,37.6,260.0,147,13265,7.6
64,43,Other,167.0,57.3,2186.0,173.0,20.5,202.0,110,5318,9.8
65,49,Female,165.0,46.1,2192.0,91.0,16.9,110.0,141,16517,4.1
66,19,Female,142.0,83.0,1622.0,187.0,41.2,266.0,51,11875,4.0
67,43,Male,161.0,71.6,3238.0,74.0,27.6,290.0,71,8573,3.4
68,49,Male,184.0,66.9,3747.0,87.0,19.8,319.0,122,16879,5.3
69,35,Other,160.0,102.9,1626.0,143.0,40.2,474.0,119,12624,3.3
70,43,Other,150.0,96.3,3749.0,90.0,42.8,110.0,97,16548,7.3
71,20,Female,189.0,51.3,1793.0,139.0,14.4,453.0,134,13918,3.6
72,35,Other,173.0,86.1,3335.0,68.0,28.8,191.0,115,14875,6.2
73,49,Male,177.0,63.4,3729.0,118.0,20.2,305.0,36,18258,8.2
74,43,Male,184.0,113.2,2699.0,50.0,33.4,396.0,91,3576,3.6
75,53,Female,189.0,45.0,3172.0,108.0,12.6,493.0,113,7167,7.8
76,43,Male,158.0,105.6,2171.0,81.0,42.3,381.0,87,2321,6.4
77,45,Male,185.0,48.2,2807.0,96.0,14.1,386.0,32,7555,5.7
78,33,Female,157.0,96.2,2228.0,165.0,39.0,416.0,30,11901,6.6
79,47,Other,195.0,89.9,3615.0,168.0,23.6,215.0,110,17189,5.6
80,18,Male,186.0,116.4,3090.0,193.0,33.6,249.0,121,11996,9.9
81,35,Male,157.0,92.4,1522.0,106.0,37.5,450.0,46,12460,9.0
