user_id,age,gender,height_cm,weight_kg,daily_calories,protein_g,carbs_g,fat_g,steps_per_day,sleep_hours
1,63.0,Female,196.0,111.9,2365.0,154.0,336,60,16934,7.6
2,20.0,Other,199.0,50.5,2401.0,139.0,243,88,18560,6.6
3,41.0,Male,164.0,58.4,1972.0,129.0,469,144,18237,4.5
4,19.0,Female,162.0,113.2,1561.0,114.0,164,33,10133,4.8
5,35.0,Other,167.0,,3075.0,128.0,409,89,5995,8.0
6,39.0,Female,142.0,50.9,3884.0,136.0,299,66,15673,4.6
7,55.0,Other,190.0,103.1,3092.0,44.0,409,149,1605,5.4
8,44.0,Other,158.0,46.2,1832.0,154.0,307,50,11506,5.6
9,150.0,Female,183.0,55.1,2482.0,64.0,286,132,5041,8.3
10,39.0,Female,177.0,53.2,3615.0,155.0,166,67,3918,4.3
11,24.0,Female,157.0,67.0,2656.0,142.0,357,61,13334,3.6
12,41.0,Other,192.0,74.1,3498.0,168.0,411,124,12321,4.3
13,62.0,Female,157.0,113.3,2256.0,-inf,410,42,19023,8.0
14,58.0,Male,,77.7,2530.0,101.0,248,34,14575,3.4
15,42.0,Other,165.0,54.3,3339.0,65.0,434,121,11744,
16,24.0,Other,169.0,65.4,2369.0,113.0,330,34,15026,6.5
17,55.0,Other,151.0,45.5,3600.0,152.0,177,89,8313,5.6
18,54.0,Male,177.0,47.1,3965.0,77.0,446,50,17865,5.4
19,20.0,Other,171.0,77.3,3210.0,66.0,271,74,5109,6.8
20,64.0,Other,198.0,83.4,inf,212.0,209,34,12670,3.4
21,23.0,Female,143.0,63.7,3034.0,103.0,167,81,6735,5.3
22,60.0,Other,170.0,73.5,1622.0,91.0,299,147,4520,5.9
23,16.0,Male,153.0,52.8,2009.0,103.0,369,132,18261,4.0
24,27.0,Other,145.0,94.4,3179.0,49.0,480,148,16425,6.7
25,22.0,Male,196.0,74.4,3145.0,187.0,438,41,2964,5.2
26,150.0,Female,179.0,57.1,2759.0,77.0,442,73,13161,3.5
27,60.0,Male,140.0,82.3,2475.0,56.0,458,38,10456,3.9
28,21.0,Other,182.0,60.6,2091.0,61.0,297,33,12259,
29,40.0,Male,184.0,66.9,2845.0,134.0,214,60,8035,7.6
30,64.0,Female,196.0,54.3,3005.0,95.0,376,68,14737,8.6
31,16.0,Male,155.0,103.6,3029.0,109.0,267,101,6791,6.4
32,50.0,Female,193.0,65.9,3705.0,195.0,433,123,4312,3.3
33,25.0,Female,176.0,116.7,2422.0,173.0,498,85,11755,7.2
34,30.0,Male,184.0,75.4,3831.0,53.0,247,111,19828,
35,54.0,Other,153.0,56.6,3467.0,171.0,331,66,7158,
36,20.0,Other,172.0,97.9,2986.0,187.0,394,136,13794,5.4
37,62.0,Other,192.0,100.0,2655.0,49.0,478,112,10799,3.1
38,25.0,Other,195.0,111.1,3703.0,178.0,244,39,19905,7.0
39,39.0,Female,198.0,54.9,1746.0,83.0,468,112,19560,3.7
40,51.0,Other,172.0,104.2,3735.0,193.0,363,30,7492,9.6
41,19.0,Female,194.0,109.5,3396.0,42.0,403,61,12623,
42,24.0,Other,,67.8,2472.0,132.0,454,93,8896,7.3
43,35.0,Female,183.0,79.1,1580.0,207.0,223,127,14512,5.3
44,64.0,Male,141.0,91.5,2467.0,52.0,346,71,16446,5.4
45,17.0,Male,172.0,63.4,3532.0,184.0,307,44,8275,3.1
46,16.0,Female,179.0,110.4,3875.0,70.0,260,82,14397,9.1
47,32.0,Other,146.0,-20.0,3625.0,130.0,205,135,11250,4.9
48,,Male,188.0,109.3,2343.0,218.0,184,99,9219,20.0
49,45.0,Male,143.0,78.7,1750.0,176.0,285,42,17332,5.5
50,60.0,Male,178.0,83.9,inf,58.0,331,93,15657,4.3
51,44.0,Female,195.0,59.6,3813.0,138.0,156,104,5209,5.2
52,150.0,Female,,68.6,3166.0,191.0,324,58,11116,5.0
53,39.0,Other,144.0,99.7,3389.0,43.0,262,62,15500,9.8
54,26.0,Male,167.0,116.9,3104.0,215.0,437,99,11115,9.1
55,,Male,180.0,56.4,2782.0,217.0,237,66,15450,5.0
56,51.0,Female,170.0,48.8,1978.0,132.0,274,138,1064,8.9
57,16.0,Female,166.0,50.1,3508.0,154.0,461,122,11069,3.3
58,23.0,Female,,77.7,1822.0,185.0,213,127,8456,7.0
59,39.0,Female,195.0,104.5,3492.0,217.0,242,125,7063,9.0
60,44.0,Other,181.0,61.9,2206.0,60.0,unknown,143,19126,4.5
61,48.0,Other,194.0,80.8,1652.0,165.0,228,48,4932,4.1
62,37.0,Female,191.0,83.7,1716.0,81.0,414,33,3860,8.6
63,52.0,Other,,107.8,2317.0,85.0,260,147,13265,7.6
64,,Other,167.0,57.3,2186.0,173.0,202,110,5318,9.8
65,49.0,Female,165.0,46.1,2192.0,91.0,110,141,16517,4.1
66,19.0,Female,142.0,83.0,1622.0,187.0,266,51,11875,4.0
67,43.0,Male,161.0,71.6,3238.0,74.0,290,71,8573,3.4
68,49.0,Male,184.0,66.9,3747.0,87.0,319,122,16879,5.3
69,35.0,Other,160.0,102.9,1626.0,143.0,474,119,12624,3.3
70,43.0,Other,150.0,96.3,3749.0,90.0,110,97,16548,7.3
71,20.0,Female,189.0,51.3,1793.0,139.0,453,134,13918,3.6
72,35.0,Other,173.0,86.1,3335.0,68.0,191,115,14875,6.2
73,49.0,Male,177.0,-20.0,3729.0,118.0,305,36,18258,
74,,Male,184.0,113.2,2699.0,50.0,396,91,3576,3.6
75,53.0,Female,189.0,45.0,3172.0,108.0,493,113,7167,7.8
76,,Male,158.0,105.6,2171.0,81.0,381,87,2321,
77,45.0,Male,185.0,48.2,2807.0,96.0,386,32,7555,5.7
